Ticker,Company,sector_use,Year,ESG_Score,E_Score,S_Score,G_Score,ROA,PB,EV_EBITDA,log_mcap,QUICK_RATIO,ASSET_GROWTH,FNCL_LVRG,PE_RATIO,market_cap
EFX,Equifax Inc,Professional Services,2021,46.27674865,26.37108075,32.43063796,77.90296872,0.0513716686225487,8.731369494304579,,24.18062867124048,0.4156,14.8682,3.0584,45.2843,31733180416.0
EMR,Emerson Electric Co,Electrical Equipment,2021,71.30977252,73.81553615,68.20499354,72.37356637,0.0444785969353161,7.51823242007576,,25.03758020609311,0.8525,8.0107,2.6026,23.4509,74762346496.0
ETN,Eaton Corporation PLC,Electrical Equipment,2021,70.07896267,92.21455326,76.87170871,34.61020916,0.098850993981397,8.908340319726877,,25.71557480708705,0.5359,6.9224,2.101,38.3214,147276087296.0
EXPD,Expeditors International of Washington Inc,Air Freight & Logistics,2021,55.35917666,56.57341861,49.20524155,61.90220194,0.1703817764296161,4.609095022586576,,23.514834636516177,1.4865,54.4378,2.0373,16.2382,16306581504.0
FAST,Fastenal Co,Trading Companies & Distributors,2021,39.19181675,60.12795432,28.83534137,27.64694162,0.2326273722148068,17.877498765447918,,24.72338305219572,1.6658,8.4319,1.4308,40.0752,54604550144.0
FBHS,Fortune Brands Home & Security Inc,Building Products,2021,53.79919225,68.49406607,53.08026039,35.82218288,0.0973261762556387,3.755041850152845,,23.180788266043944,0.6885,7.8479,2.6189,18.6642,
FDX,FedEx Corp,Air Freight & Logistics,2021,74.29997731,76.85236932,66.62690228,81.21210442,0.0466979355678044,2.2288363904094237,,24.72481280971036,1.4023,12.5651,3.6812,17.3364,54682677248.0
FTV,Fortive Corp,Machinery,2021,52.61877797,35.18616512,55.7975817,69.37014851,0.0489477612378864,1.7135025381675508,,23.523791728845463,0.4709,2.5792,1.7599,35.5539,16453297152.0
GD,General Dynamics Corp,Aerospace & Defense,2021,63.29408941,35.8742662,62.2818546,84.77410028,0.067680744452398,4.913773230909166,,25.19118761198289,0.3322,-2.407,3.0443,18.0494,87175364608.0
GE,General Electric Co,Industrial Conglomerates,2021,75.31447271,75.96049784,65.92555863,89.65003487,0.053240214390125,7.918963951982175,,26.153051565222857,0.8409,-22.3788,5.9999,159.6641,319213436928.0
GNRC,Generac Holdings Inc,Electrical Equipment,2021,30.70331467,2.202083881,33.87855213,60.7417025,0.0636592148756853,4.8060379182070365,,23.11253427446665,0.6002,50.7617,2.2511,41.1772,10905512960.0
GWW,W W Grainger Inc,Trading Companies & Distributors,2021,75.57297153,78.62129991,79.15139858,67.22326202,0.2162192773813569,24.89983117279751,,24.578498406902263,1.3056,4.718,3.4811,26.6081,47239602176.0
HII,Huntington Ingalls Industries Inc,Aerospace & Defense,2021,33.52189723,14.30754918,47.68097119,28.41900777,0.0453010460423358,3.8592211512651526,,23.10620371187446,0.4368,30.2807,3.989,14.4871,10836692992.0
